fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,fighter_bout_id,updated_at,updated_timestamp
Fatima Kline,−1200,Melissa Martinez,+750,32464929,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
Mitch Ramirez,+650,Mike Davis,−1000,32464937,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Kennedy Nzechukwu,−218,Valter Walker,+180,32464932,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
Lauren Murphy,+455,Eduarda Moura,−625,32464936,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Jake Matthews,+105,Chidi Njokuani,−125,32464931,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
Max Griffin,+250,Chris Curtis,−310,32464938,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
Junior Tafa,−175,Tuco Tokkos,+145,32464930,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Vitor Petrino,−700,Austen Lane,+500,32464928,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Nate Landwehr,+210,Morgan Charriere,−258,32464933,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Calvin Kattar,+110,Steve Garcia,−130,32464935,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
Stephen Thompson,+330,Gabriel Bonfim,−425,32464934,Jun-30-2025 10:15:AM,Jul-02-2025 12:11:PM
Derrick Lewis,+210,Tallison Teixeira,−280,32453030,Jul-02-2025 12:11:PM,Jul-02-2025 12:11:PM
