fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,fighter_bout_id,timestamp,underdog_won,my_picks
Hamdy Abdelwahab,−162,Mohammed Usman,+136,32403994,2025-06-21 10:33:07,true ,
Tagir Ulanbekov,−520,Azat Maksum,+390,32403986,2025-06-21 10:33:07,false ,
Irina Alekseeva,−250,Klaudia Sygula,+205,32403980,2025-06-21 10:33:07,true ,Klaudia Sygula
Daria Zhelezniakova,+200,Melissa Mullins,−245,32403989,2025-06-21 10:33:07,true ,Melissa Mullins
Ismail Naurdiev,+140,Jun Yong Park,−166,32403982,2025-06-21 10:33:07,false ,Jun Yong Park
Seokhyeon Ko,+380,Oban Elliott,−500,32403987,2025-06-21 10:33:07,true ,
Muhammad Naimov,−265,Bogdan Grad,+215,32403985,2025-06-21 10:33:07,false ,
Nazim Sadykhov,−425,Nikolas Motta,+330,32403983,2025-06-21 10:33:07,false ,
Tofiq Musayev,+136,Myktybek Orolbai,−162,32403988,2025-06-21 10:33:07,false ,
Curtis Blaydes,−245,Rizvan Kuniev,+200,32403981,2025-06-21 10:33:07,false ,Curtis Blaydes
Rafael Fiziev,+120,Ignacio Bahamondes,−142,32403984,2025-06-21 10:33:07,true ,Rafael Fiziev
Jamahal Hill,−118,Khalil Rountree Jr.,−102,32330048,2025-06-21 10:33:07,true ,
