bout_number,fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,updated_at
12,Fatima Kline,-100,Melissa Martinez,100,2025-07-02 14:37:46.989774
11,Mitch Ramirez,-100,Mike Davis,100,2025-07-02 14:37:46.989774
10,Kennedy Nzechukwu,-100,Valter Walker,100,2025-07-02 14:37:46.989774
9,Lauren Murphy,-100,Eduarda Moura,100,2025-07-02 14:37:46.989774
8,Jake Matthews,-100,Chidi Njokuani,100,2025-07-02 14:37:46.989774
7,Max Griffin,-100,Chris Curtis,100,2025-07-02 14:37:46.989774
6,Junior Tafa,-100,Tuco Tokkos,100,2025-07-02 14:37:46.989774
5,Vitor Petrino,-100,Austen Lane,100,2025-07-02 14:37:46.989774
4,Nate Landwehr,-100,Morgan Charriere,100,2025-07-02 14:37:46.989774
3,Calvin Kattar,-100,Steve Garcia,100,2025-07-02 14:37:46.989774
2,Stephen Thompson,-100,Gabriel Bonfim,100,2025-07-02 14:37:46.989774
1,Derrick Lewis,-100,Tallison Teixeira,100,2025-07-02 14:37:46.989774
